,account,date,text,compound,positive,neutral,negative
0,BBC,Mon May 07 08:03:04 +0000 2018,"From gut microbes to the time you eat, here are five potentially surprising factors that can affect your weight.
👉… https://t.co/HhOXDdIGI5",0.2732,0.095,0.905,0.0
1,BBC,Mon May 07 07:04:03 +0000 2018,"Meet Piers and Magdelena, a deaf couple who run their own B&amp;B. 🏠🍳❤️️

https://t.co/H2iArXnZex",0.0,0.0,1.0,0.0
2,BBC,Sun May 06 19:01:07 +0000 2018,"Don't like plastic straws? 
👍🍝 Here's a genius solution... https://t.co/79fOaOmak3",-0.2755,0.0,0.791,0.209
3,BBC,Sun May 06 18:04:07 +0000 2018,"Thanks to new treatments, a breast cancer diagnosis is no longer the terrifying and hopeless prospect it once was. https://t.co/nosH2xPRAo",-0.8481,0.162,0.414,0.424
4,BBC,Sun May 06 17:33:00 +0000 2018,The UK loves a cup of tea. ☕ But are we ready for Kombucha? #TopOfTheShop https://t.co/rMEDCbMnE1,0.7351,0.341,0.659,0.0
5,BBC,Sun May 06 16:02:08 +0000 2018,"Enigmatic Escher: Early works by the artist like no other.
👉 https://t.co/502kn9Kbjb https://t.co/55j3P86gFe",0.0772,0.17,0.68,0.15
6,BBC,Sun May 06 15:04:02 +0000 2018,Autism is not stopping this man from keeping the public safe. https://t.co/tdLWWDo2dz,0.5178,0.303,0.697,0.0
7,BBC,Sun May 06 14:33:00 +0000 2018,"🎹🏅 Lauren Zhang struck a chord with the @BBCYoungMus 
judges, taking out the keyboard category final. https://t.co/BVTQV90n4P",-0.25,0.0,0.882,0.118
8,BBC,Sun May 06 14:08:09 +0000 2018,"🤔 Is 'Schadenfreude' a happy or sad feeling? Which language has 15 words for fear?

Try your luck in this quiz of u… https://t.co/2ber8ul5pG",0.3094,0.269,0.534,0.198
9,BBC,Sun May 06 13:05:04 +0000 2018,"Scouse Brow is so on trend, scientists at the University of Liverpool have begun a study on it. https://t.co/daHPnCioiZ",0.0,0.0,1.0,0.0
10,BBC,Sun May 06 12:09:07 +0000 2018,"Pollution, construction and insect dung are said to be among the causes of the Taj Mahal changing colour. 
👉… https://t.co/Yk6hUcgZHJ",0.0,0.0,1.0,0.0
11,BBC,Sun May 06 11:01:02 +0000 2018,Voice recognition tools still have a long way to go to catch up to humans. https://t.co/hge3gjazi3,0.0,0.0,1.0,0.0
12,BBC,Sun May 06 10:08:03 +0000 2018,"🎀🎨 A hue now associated with innocence once had a murkier meaning. 

@BBC_Culture looks at the ways in which pink h… https://t.co/XlQjlVLxJi",0.3818,0.12,0.88,0.0
13,BBC,Sun May 06 09:03:03 +0000 2018,🌋 This mesmerising footage shows the lava lake overflowing in Hawaii's Kilauea volcano. https://t.co/xAujfSM2Rw,0.0,0.0,1.0,0.0
14,BBC,Sun May 06 08:25:29 +0000 2018,RT @BBCNews: Prince Louis and Princess Charlotte seen at home in new photos https://t.co/kfsoZlH50m,0.0,0.0,1.0,0.0
15,BBC,Sun May 06 08:06:03 +0000 2018,🍳🥚 Eggs are wonderfully versatile and perfect for whipping up fantastic meals in minutes. Try a flavourful frittata… https://t.co/ef4wA2oQpR,0.9042,0.427,0.573,0.0
16,BBC,Sun May 06 07:04:07 +0000 2018,🌊😲This is terrifying. https://t.co/wkL9EwcVxs,-0.5719,0.0,0.448,0.552
17,BBC,Sat May 05 19:05:07 +0000 2018,♻️ Making household gas from human waste. https://t.co/8AdUpQJ9Ho,-0.4215,0.0,0.714,0.286
18,BBC,Sat May 05 18:06:07 +0000 2018,Ashley Butterfield has been around the world - but a visit to India brought home the particular challenges of being… https://t.co/Idl70AX8x2,0.1154,0.075,0.925,0.0
19,BBC,Sat May 05 17:02:04 +0000 2018,"😭❤️ Making us proud. 

⛈ @SurieOfficial has recorded a sign language version of the UK's @BBCEurovision entry, Stor… https://t.co/7qDvBvReiy",0.4767,0.162,0.838,0.0
20,BBC,Mon May 07 08:03:04 +0000 2018,"From gut microbes to the time you eat, here are five potentially surprising factors that can affect your weight.
👉… https://t.co/HhOXDdIGI5",0.2732,0.095,0.905,0.0
21,BBC,Mon May 07 07:04:03 +0000 2018,"Meet Piers and Magdelena, a deaf couple who run their own B&amp;B. 🏠🍳❤️️

https://t.co/H2iArXnZex",0.0,0.0,1.0,0.0
22,BBC,Sun May 06 19:01:07 +0000 2018,"Don't like plastic straws? 
👍🍝 Here's a genius solution... https://t.co/79fOaOmak3",-0.2755,0.0,0.791,0.209
23,BBC,Sun May 06 18:04:07 +0000 2018,"Thanks to new treatments, a breast cancer diagnosis is no longer the terrifying and hopeless prospect it once was. https://t.co/nosH2xPRAo",-0.8481,0.162,0.414,0.424
24,BBC,Sun May 06 17:33:00 +0000 2018,The UK loves a cup of tea. ☕ But are we ready for Kombucha? #TopOfTheShop https://t.co/rMEDCbMnE1,0.7351,0.341,0.659,0.0
25,BBC,Sun May 06 16:02:08 +0000 2018,"Enigmatic Escher: Early works by the artist like no other.
👉 https://t.co/502kn9Kbjb https://t.co/55j3P86gFe",0.0772,0.17,0.68,0.15
26,BBC,Sun May 06 15:04:02 +0000 2018,Autism is not stopping this man from keeping the public safe. https://t.co/tdLWWDo2dz,0.5178,0.303,0.697,0.0
27,BBC,Sun May 06 14:33:00 +0000 2018,"🎹🏅 Lauren Zhang struck a chord with the @BBCYoungMus 
judges, taking out the keyboard category final. https://t.co/BVTQV90n4P",-0.25,0.0,0.882,0.118
28,BBC,Sun May 06 14:08:09 +0000 2018,"🤔 Is 'Schadenfreude' a happy or sad feeling? Which language has 15 words for fear?

Try your luck in this quiz of u… https://t.co/2ber8ul5pG",0.3094,0.269,0.534,0.198
29,BBC,Sun May 06 13:05:04 +0000 2018,"Scouse Brow is so on trend, scientists at the University of Liverpool have begun a study on it. https://t.co/daHPnCioiZ",0.0,0.0,1.0,0.0
30,BBC,Sun May 06 12:09:07 +0000 2018,"Pollution, construction and insect dung are said to be among the causes of the Taj Mahal changing colour. 
👉… https://t.co/Yk6hUcgZHJ",0.0,0.0,1.0,0.0
31,BBC,Sun May 06 11:01:02 +0000 2018,Voice recognition tools still have a long way to go to catch up to humans. https://t.co/hge3gjazi3,0.0,0.0,1.0,0.0
32,BBC,Sun May 06 10:08:03 +0000 2018,"🎀🎨 A hue now associated with innocence once had a murkier meaning. 

@BBC_Culture looks at the ways in which pink h… https://t.co/XlQjlVLxJi",0.3818,0.12,0.88,0.0
33,BBC,Sun May 06 09:03:03 +0000 2018,🌋 This mesmerising footage shows the lava lake overflowing in Hawaii's Kilauea volcano. https://t.co/xAujfSM2Rw,0.0,0.0,1.0,0.0
34,BBC,Sun May 06 08:25:29 +0000 2018,RT @BBCNews: Prince Louis and Princess Charlotte seen at home in new photos https://t.co/kfsoZlH50m,0.0,0.0,1.0,0.0
35,BBC,Sun May 06 08:06:03 +0000 2018,🍳🥚 Eggs are wonderfully versatile and perfect for whipping up fantastic meals in minutes. Try a flavourful frittata… https://t.co/ef4wA2oQpR,0.9042,0.427,0.573,0.0
36,BBC,Sun May 06 07:04:07 +0000 2018,🌊😲This is terrifying. https://t.co/wkL9EwcVxs,-0.5719,0.0,0.448,0.552
37,BBC,Sat May 05 19:05:07 +0000 2018,♻️ Making household gas from human waste. https://t.co/8AdUpQJ9Ho,-0.4215,0.0,0.714,0.286
38,BBC,Sat May 05 18:06:07 +0000 2018,Ashley Butterfield has been around the world - but a visit to India brought home the particular challenges of being… https://t.co/Idl70AX8x2,0.1154,0.075,0.925,0.0
39,BBC,Sat May 05 17:02:04 +0000 2018,"😭❤️ Making us proud. 

⛈ @SurieOfficial has recorded a sign language version of the UK's @BBCEurovision entry, Stor… https://t.co/7qDvBvReiy",0.4767,0.162,0.838,0.0
40,BBC,Sat May 05 16:04:06 +0000 2018,"😳Seriously, who has been throwing their phone at @NiallOfficial..? 😂 https://t.co/7NUZ97it7q",0.0,0.0,1.0,0.0
41,BBC,Sat May 05 15:40:16 +0000 2018,"RT @BBCOne: Happy Birthday @Adele 🎉 On your special day, here's a reminder of your most embarrassing moment 🙈 https://t.co/EfmUc8LMar",0.5434,0.275,0.601,0.124
42,BBC,Sat May 05 15:01:04 +0000 2018,Should we be able to choose our own death? https://t.co/QwLojMAoCm,-0.5994,0.0,0.698,0.302
43,BBC,Sat May 05 14:04:04 +0000 2018,"🌝 Over the years, the full Moon has been blamed for everything from madness to baby booms.

But can it really affec… https://t.co/kZI4IXGXou",-0.7184,0.0,0.769,0.231
44,BBC,Sat May 05 13:01:04 +0000 2018,"❤️🦋 After a mastectomy, a bra tattoo changed Linda's life. https://t.co/LejK1NZg4M",0.0,0.0,1.0,0.0
45,BBC,Sat May 05 12:04:04 +0000 2018,"🌯😋 Wrap up a cheap and tasty, not to mention nutritious, lunch with these recipes for wraps. 
👉… https://t.co/ysLlhCO2Hh",0.0,0.0,1.0,0.0
46,BBC,Sat May 05 11:04:03 +0000 2018,⚽️ Humaira Tasnim is inspiring the next generation and breaking down barriers for women in sport. https://t.co/zn77IdfO8K,0.4215,0.149,0.851,0.0
47,BBC,Sat May 05 10:06:04 +0000 2018,🍽😡 We now know the reason that hunger causes us to lose our temper. But is it true that women are more susceptible… https://t.co/dxjDlQ59k9,-0.5719,0.092,0.66,0.248
48,BBC,Sat May 05 09:03:07 +0000 2018,🎧😍 This is what coral reefs should sound like. https://t.co/j4gV62nnq9,0.3612,0.217,0.783,0.0
49,BBC,Sat May 05 08:06:01 +0000 2018,"'People with bad consciences always fear the judgment of children.' ~ Mary McCarthy

🙌 The wit and wisdom of five o… https://t.co/t5uiugokJe",-0.5106,0.125,0.627,0.247
50,BBC,Sat May 05 08:01:17 +0000 2018,"RT @BBCOne: Doesn't he do well?! 🙌🔥

James Dean Bradfield from @Manics takes on #GigInAMinute. #SoundsLikeFridayNight https://t.co/wUirw9Ug…",0.0,0.0,1.0,0.0
51,BBC,Fri May 04 19:02:04 +0000 2018,"A young seal is having to be taught to swim upright, after avoiding death from a plastic ring stuck around its neck… https://t.co/t5LUhrNxqG",-0.8074,0.0,0.684,0.316
52,BBC,Fri May 04 18:01:04 +0000 2018,😂👍 Turning parking fines to your advantage.  https://t.co/WUQ365Ip0J,0.25,0.222,0.778,0.0
53,BBC,Fri May 04 17:02:04 +0000 2018,How many calories are in your favourite drink? @HughFW investigates the impact of wine and beer. 🍷🍺… https://t.co/a9lBjKvkkr,0.0,0.0,1.0,0.0
54,BBC,Fri May 04 16:33:00 +0000 2018,When your boss calls your name but you're half way out the door... 👋#FridayFeeling #BankHolidayWeekend https://t.co/BiSM4oUznR,0.0,0.0,1.0,0.0
55,BBC,Fri May 04 16:00:17 +0000 2018,"Too excited for this 💥#TheStreets

#SoundsLikeFridayNight |  7.30pm | @BBCOne https://t.co/yEwIEW9jrV",0.34,0.231,0.769,0.0
56,BBC,Fri May 04 15:04:04 +0000 2018,"😂 Philomena Cunk, asking all the big questions. 
#CunkonBritain https://t.co/UItQTPbzYI",0.0,0.0,1.0,0.0
57,BBC,Fri May 04 14:25:56 +0000 2018,"RT @bbcmusic: Interested to see whether @KylieMinogue can top @AnneMarie's incredible #SoundsLikeFridayNight entrance later tbh 😅

Watch: 7…",0.5423,0.231,0.769,0.0
58,BBC,Fri May 04 13:00:25 +0000 2018,"A site offering to sell ready-made Instagram photos has just popped up.

Would you buy photos to fake the perfect I… https://t.co/iplGpS355p",0.1531,0.143,0.736,0.12
59,BBC,Fri May 04 12:21:16 +0000 2018,RT @bbcarts: Visitors to the @britishmuseum get a surprise when @wmarybeard fulfils a lifelong ambition and spends the day as a gallery att…,0.2732,0.1,0.9,0.0
60,BBC,Fri May 04 12:00:21 +0000 2018,😂 It turns out that it's *quite* difficult to keep a straight face while testing laughing gas... https://t.co/vUQwxcTTD7,0.3818,0.248,0.631,0.121
61,BBC,Fri May 04 11:00:19 +0000 2018,"🎞🍿 From Solo: A Star Wars Story to anime hits and a Pope Francis doc, here are 10 movies worth watching in May. 
👉… https://t.co/Xf8Mhkf6bs",-0.4019,0.072,0.792,0.136
62,BBC,Fri May 04 09:38:41 +0000 2018,"🤔 Remember Simon Pegg's starring role in #StarWars?
#MayTheFourth #StarWarsDay https://t.co/bBOY2cQiyI",0.0,0.0,1.0,0.0
63,BBC,Fri May 04 09:33:30 +0000 2018,"RT @BBCArchive: Happy #StarWarsDay! Here's a 1978 clip from Arena featuring Mark Hamill, Gary Kurtz, John Barry and the droids. #MayThe4thB…",0.6114,0.174,0.826,0.0
64,BBC,Fri May 04 09:20:39 +0000 2018,"RT @BBCTwo: #MayThe4thBeWithYou, Philomena Cunk! 💫😂 #StarWarsDay https://t.co/kOgPEKhO7g",0.0,0.0,1.0,0.0
65,BBC,Fri May 04 08:48:34 +0000 2018,RT @bbcpress: BBC announces coverage for the #RoyalWedding across TV and radio: https://t.co/Cq1xFaWxKf https://t.co/BuFurmd4AY,0.0,0.0,1.0,0.0
66,BBC,Fri May 04 08:00:14 +0000 2018,❤️👗 This amazing woman lends prom dresses to girls who can't afford them. https://t.co/p8bIGPhYx0,0.5859,0.226,0.774,0.0
67,BBC,Fri May 04 07:28:03 +0000 2018,Much of the focus on plastic pollution centres on our oceans. Emerging evidence shows it’s also a problem in freshw… https://t.co/KdTmh6TssL,-0.4019,0.0,0.876,0.124
68,BBC,Fri May 04 07:01:01 +0000 2018,🍓 Snacking doesn't have to be unhealthy! https://t.co/fcOkgs6eR3,-0.5707,0.0,0.619,0.381
69,BBC,Fri May 04 06:30:00 +0000 2018,"""You have to be best friends""
What advice do you have for Harry and Meghan? 💑 https://t.co/wiVwqvEP2f",0.8074,0.343,0.657,0.0
70,BBC,Thu May 03 19:46:45 +0000 2018,RT @BBCOne: YOU CHOOSE NUTS OVER BERRIES WHEN MARY BERRY HERSELF IS STANDING IN FRONT OF YOU?!!! 🙈 #BBHC https://t.co/PmHT5ZNpja,-0.6006,0.0,0.822,0.178
71,BBC,Thu May 03 19:03:04 +0000 2018,"Tonight, @bbclysedoucet tells the story of the Syrian war through extraordinary testimony from those who have lived… https://t.co/bICaYKRCmt",-0.5994,0.0,0.813,0.187
72,BBC,Thu May 03 18:34:03 +0000 2018,"🥄❤️️🏠 @ClaudiaWinkle hosts as Mary Berry, @DanDoherty_ and @Chris_Bavin put ten of the nation's best home cooks thr… https://t.co/fhPRqFbtEX",0.6369,0.189,0.811,0.0
73,BBC,Thu May 03 18:01:10 +0000 2018,You're never too old to do something crazy... EVEN AT 81! https://t.co/CE5V6nws6n,0.0,0.0,1.0,0.0
74,BBC,Thu May 03 17:01:04 +0000 2018,🌸🌴@KewGardens is the largest remaining glasshouse from the Victorian era...but it's more than just a place to keep… https://t.co/CWGllHGJqo,0.0,0.0,1.0,0.0
75,BBC,Thu May 03 16:01:06 +0000 2018,"📚 There’s no place like gnome for tonight’s @CbeebiesHQ #BedtimeStory with Sir @EltonOfficial! 
 https://t.co/K5V1BFGEdf",0.1511,0.175,0.688,0.138
76,BBC,Thu May 03 15:12:08 +0000 2018,"RT @AboutTheBBC: High praise for ⭐⭐⭐⭐⭐ My Dad, the Peace Deal and Me @PatricKielty @BBCOne you have 2 days left to catch it @BBCiPlayer - h…",0.7964,0.244,0.756,0.0
77,BBC,Thu May 03 13:04:01 +0000 2018,🚆 The incredible story of how London dug the #VictoriaLine. https://t.co/V4emAUsrVP,0.0,0.0,1.0,0.0
78,BBC,Thu May 03 12:32:57 +0000 2018,RT @BBCr4today: Kew Gardens is currently finding and researching species of plants that can help restore land when the climate changes. @Si…,0.5994,0.197,0.803,0.0
79,BBC,Thu May 03 12:31:50 +0000 2018,RT @BBCTwo: Would you swipe right for Ed? 😍🚜💚 #LoveInTheCountryside @sarajcox https://t.co/LhmVJF463S,0.0,0.0,1.0,0.0
80,BBC,Thu May 03 12:07:40 +0000 2018,"RT @bbcworldservice: Once condemned as witch doctors, traditional healers are now joining forces with medics in South Africa to help fight…",-0.4019,0.103,0.69,0.207
81,BBC,Thu May 03 12:02:28 +0000 2018,RT @BBCNewsround: The UK's first heart transplant was carried out 50 years ago! ❤️ Find out more here 👉https://t.co/L8P2Pzw5fa https://t.co…,0.0,0.0,1.0,0.0
82,BBC,Thu May 03 12:02:20 +0000 2018,"RT @bbcideas: Meet the unsung heroine of early animation 😍

More unsung heroines: https://t.co/B4DBsLSOU2 https://t.co/JW9myCTeZb",0.7769,0.361,0.639,0.0
83,BBC,Thu May 03 12:02:13 +0000 2018,"RT @bbcpress: ☀ The sun's (sort-of) out and it's time for @BBCTwo to show off its #ComedyShorts! Four new specials from @SaraPascoe, @TimKe…",0.0,0.0,1.0,0.0
84,BBC,Thu May 03 12:00:18 +0000 2018,"💕 This is adorable.

These children are so excited about the #RoyalWedding, they've created the love story of when… https://t.co/PPWMz5pBky",0.9103,0.455,0.545,0.0
85,BBC,Thu May 03 11:33:51 +0000 2018,RT @bbccomedy: Tony Blur vs Oasis  #CunkonBritain https://t.co/s0XsciaUPz,0.0,0.0,1.0,0.0
86,BBC,Thu May 03 11:00:01 +0000 2018,"'When you reclaim the word fat, it takes the power away.' https://t.co/Wquds5gXH1",0.0,0.0,1.0,0.0
87,BBC,Thu May 03 10:49:34 +0000 2018,"RT @bbc5live: ""It's not all doom and gloom - it's about celebrating life""

Paul was told he had  incurable cancer in 2016 - this is his dia…",-0.4664,0.17,0.601,0.229
88,BBC,Thu May 03 10:03:03 +0000 2018,"RT @BBCR1: Can't wait to see @LiamPayne at #BiggestWeekend in Swansea?

How about a Live Lounge next Thursday to tide you over...? 😏

This…",0.0,0.0,1.0,0.0
89,BBC,Thu May 03 09:22:25 +0000 2018,RT @BBCTwo: CONFIRMED: Donald Glover’s acclaimed comedy-drama #Atlanta starts Sunday 13 May on @BBCTwo. https://t.co/cqMJcvqMLC,0.0,0.0,1.0,0.0
90,BBC,Thu May 03 08:49:53 +0000 2018,RT @bbceurovision: Making us proud. @surieofficial has recorded a sign language version of Storm. 👉https://t.co/MfXKZEQSPJ https://t.co/Kdd…,0.4767,0.181,0.819,0.0
91,BBC,Thu May 03 08:47:48 +0000 2018,RT @bbcworldservice: What's the best way to get rid of food waste? A former pharmaceutical company employee in China has come up with an in…,0.34,0.145,0.759,0.097
92,BBC,Thu May 03 08:00:14 +0000 2018,👏 This 17-year-old Tanzanian schoolboy has been making house bricks from waste plastic. https://t.co/Mfe4FGUTgY,-0.4215,0.0,0.811,0.189
93,BBC,Thu May 03 07:26:02 +0000 2018,"🕯 Linda Geddes decided to live for weeks in only candlelight.

😴 Along the way, she discovered simple things that e… https://t.co/zaVSblsE5i",0.0,0.0,1.0,0.0
94,BBC,Thu May 03 07:04:05 +0000 2018,Medical supplies are now only a text message away. And doctors are using drones to deliver them! https://t.co/e6odyQp7MK,0.0,0.0,1.0,0.0
95,BBC,Wed May 02 19:02:03 +0000 2018,Eight rural singles from across the UK enlist the help of farmer's daughter @sarajcox as they take the bull by the… https://t.co/RcPopuypXN,0.4019,0.114,0.886,0.0
96,BBC,Wed May 02 18:02:04 +0000 2018,"Don't like plastic straws? 
👍🍝 Here's a solution you'd never have thought of... https://t.co/79fOaOmak3",0.049,0.149,0.714,0.137
97,BBC,Wed May 02 17:01:07 +0000 2018,"A vegan diet doesn't mean giving up on your favourite comfort foods. 

These cosy comforts are just like the real t… https://t.co/QnWNKI87cm",0.7239,0.298,0.626,0.075
98,BBC,Wed May 02 17:01:04 +0000 2018,"😂 There are so many unexpected ways your wedding day can go wrong. 
Chris from Wales describes his Best Man wedding… https://t.co/by9CPQDoxN",0.2732,0.16,0.722,0.118
99,BBC,Wed May 02 16:03:01 +0000 2018,"👏🏃 Rob's finished his 15,000 mile run across America, Forrest Gump style... https://t.co/rdUz8yjzdv",0.0,0.0,1.0,0.0
100,CBS,Fri May 04 21:00:00 +0000 2018,Spend your Friday night with this dynamic duo! Tune in to the season finale of @MacGyverCBS at 8/7c on CBS and CBS… https://t.co/AfWUVo4GSu,0.5093,0.13,0.87,0.0
101,CBS,Fri May 04 18:42:12 +0000 2018,RT @undercover_cbs: Get ready for the series premiere of #CelebrityBoss in just seven days! How would you react if your favorite celebrity…,0.6996,0.225,0.775,0.0
102,CBS,Fri May 04 14:48:42 +0000 2018,The force is strong on the set of @bigbangtheory! #MayThe4thBeWithYou https://t.co/uYyXKtuVCM,0.5562,0.264,0.736,0.0
103,CBS,Wed May 02 19:04:01 +0000 2018,RT @thegoodfight: The fight's not over yet. #TheGoodFight is renewed for Season 3. https://t.co/gUrDeA5KQP,0.0,0.0,1.0,0.0
104,CBS,Tue May 01 23:10:50 +0000 2018,RT @TKOCBS: Both @hwventure and @janemun have been named Executive Producers and showrunners of #TKO: TOTAL KNOCK OUT! Learn more about the…,0.0,0.0,1.0,0.0
105,CBS,Tue May 01 17:58:51 +0000 2018,"RT @StrangeAngel: Sex. Magick. Rocket Science. #StrangeAngel launches June 14, only on CBS All Access. https://t.co/I3sqWMASxl https://t.co…",0.0,0.0,1.0,0.0
106,CBS,Tue May 01 15:16:28 +0000 2018,"Broadway's Biggest Night will honor the best in theatre on Sunday, June 10! Here are the nominees for the… https://t.co/tCiNaLGIvq",0.8268,0.299,0.701,0.0
107,CBS,Mon Apr 30 22:54:18 +0000 2018,We congratulate all of our CBS #DaytimeEmmy Award winners! Check out the stars who joined @TheTalkCBS hosts to cele… https://t.co/JfUFINmYGH,0.8777,0.373,0.627,0.0
108,CBS,Mon Apr 30 13:28:01 +0000 2018,RT @KevinJames: Getting the band back together @AdamSandler @chrisrock @MikeDelguidice1 @KevinCanWaitCBS #KevinCanWait https://t.co/Mo5EWck…,0.0,0.0,1.0,0.0
109,CBS,Mon Apr 30 02:22:08 +0000 2018,See all of the stunning fashion looks from the @CBSDaytime stars on the #DaytimeEmmys red carpet:… https://t.co/iJN1ssGPvZ,0.3818,0.14,0.86,0.0
110,CBS,Sun Apr 29 15:30:00 +0000 2018,The 45th annual #DaytimeEmmys are here! Congratulations to all of the wonderful @CBSDaytime stars and shows nominat… https://t.co/xZhDSYnxL6,0.8356,0.33,0.67,0.0
111,CBS,Thu Apr 26 23:40:24 +0000 2018,These stars are going undercover for #CelebrityBoss! Find out more about Celebrity @undercover_cbs premiering May 1… https://t.co/Deyn76ADT9,0.0,0.0,1.0,0.0
112,CBS,Wed Apr 25 21:48:49 +0000 2018,"New courage. New hope. New season. 

Season 3 of @CodeBlackCBS premieres TONIGHT at 10/9c on CBS! https://t.co/rR8xUCKlzI",0.75,0.313,0.687,0.0
113,CBS,Wed Apr 25 18:09:50 +0000 2018,Celebrate #DNADay by letting your forensic flag fly and revisit some classic episodes of @CSI_CBS on CBS All Access… https://t.co/YCbHDK2r4b,0.5719,0.163,0.837,0.0
114,CBS,Wed Apr 25 16:55:33 +0000 2018,"Get ready for big reveals, dramatic conclusions, and huge guest stars! Find out more about the 2017-2018 season fin… https://t.co/xcBChnjEvH",0.6239,0.221,0.779,0.0
115,CBS,Mon Apr 23 21:03:22 +0000 2018,Who’s ready to see these moves? 🕺 Tune in to the @latelateshow’s Carpool Karaoke Primetime Special TONIGHT at 10/9c! https://t.co/gjrURqXaPN,0.6696,0.244,0.756,0.0
116,CBS,Sun Apr 22 16:00:03 +0000 2018,"The 53rd #ACMawards turned into one big party when @KeithUrban and @juliamichaels performed their upbeat single ""Co… https://t.co/Q3Zj3EzuNs",0.4019,0.137,0.863,0.0
117,CBS,Fri Apr 20 22:00:01 +0000 2018,A blind date was all it took. Learn more about Meghan Markle and her road to royalty from the people who know her b… https://t.co/fEAMUblPQ4,-0.4019,0.0,0.895,0.105
118,CBS,Fri Apr 20 17:34:37 +0000 2018,RT @carrieunderwood: ICYMI! Watch Carrie’s performance of #CryPretty from the #ACMawards below! -TeamCU https://t.co/T9I3ko2xFu,0.0,0.0,1.0,0.0
119,CBS,Thu Apr 19 20:00:00 +0000 2018,There's a new addition to the cast of the upcoming revival of Murphy Brown!  Learn more about Tyne Daly's character… https://t.co/ijSXSLyDaR,0.0,0.0,1.0,0.0
120,CBS,Fri May 04 21:00:00 +0000 2018,Spend your Friday night with this dynamic duo! Tune in to the season finale of @MacGyverCBS at 8/7c on CBS and CBS… https://t.co/AfWUVo4GSu,0.5093,0.13,0.87,0.0
121,CBS,Fri May 04 18:42:12 +0000 2018,RT @undercover_cbs: Get ready for the series premiere of #CelebrityBoss in just seven days! How would you react if your favorite celebrity…,0.6996,0.225,0.775,0.0
122,CBS,Fri May 04 14:48:42 +0000 2018,The force is strong on the set of @bigbangtheory! #MayThe4thBeWithYou https://t.co/uYyXKtuVCM,0.5562,0.264,0.736,0.0
123,CBS,Wed May 02 19:04:01 +0000 2018,RT @thegoodfight: The fight's not over yet. #TheGoodFight is renewed for Season 3. https://t.co/gUrDeA5KQP,0.0,0.0,1.0,0.0
124,CBS,Tue May 01 23:10:50 +0000 2018,RT @TKOCBS: Both @hwventure and @janemun have been named Executive Producers and showrunners of #TKO: TOTAL KNOCK OUT! Learn more about the…,0.0,0.0,1.0,0.0
125,CBS,Tue May 01 17:58:51 +0000 2018,"RT @StrangeAngel: Sex. Magick. Rocket Science. #StrangeAngel launches June 14, only on CBS All Access. https://t.co/I3sqWMASxl https://t.co…",0.0,0.0,1.0,0.0
126,CBS,Tue May 01 15:16:28 +0000 2018,"Broadway's Biggest Night will honor the best in theatre on Sunday, June 10! Here are the nominees for the… https://t.co/tCiNaLGIvq",0.8268,0.299,0.701,0.0
